lookback_bars,z_entry,z_exit,confirm_bars,stop_multiple,momentum_threshold,min_hold_bars,skip_first_minutes,z_spread_threshold,exit_tighten_bars,exit_tighten_rate,volume_spike_multiple,per_leg_exit,time_weight_enabled,profit_factor,win_rate,sharpe,sortino,calmar,net_pnl,max_dd_pct,max_dd_dollars,total_trades,avg_winner,avg_loser,expectancy,avg_hold_bars,best_day,worst_day
60,2.0,0.5,2,4.0,0.75,3,0,2.0,25,0.02,1.5,True,True,1.2485682270916336,0.5082547169811321,1.927368334927312,3.3604804405290825,3.2569331158238195,19965.000000000015,0.061083154800458374,6130.0,848,232.67981438515085,-192.61390887290167,23.543632075471717,10.57311320754717,3470.0,-3040.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,15,0.02,1.0,False,True,1.1673482332125982,0.49915540540540543,1.9805706175309916,4.665280465078765,4.068993506493497,25064.99999999994,0.06077647871343298,6160.0,1184,295.84179357022003,-252.57588532883656,21.169763513513466,12.399493243243244,10680.0,-2960.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,25,0.04,1.3,True,False,1.2879901421467232,0.495253164556962,2.327966518680141,6.793797392965637,5.124510571652306,32719.99999999997,0.06348811772894501,6385.0,1264,233.76198083067092,-178.0799373040753,25.88607594936706,8.58623417721519,10085.0,-1985.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,25,0.02,1.3,True,True,1.3195741740665858,0.4969387755102041,2.089850921005833,6.14266360030327,4.889584964761155,31219.99999999997,0.06359878480003985,6385.0,980,264.7073921971252,-198.159229208925,31.85714285714282,9.743877551020407,10085.0,-1985.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,40,0.01,1.0,False,False,1.1048518484178176,0.4883004926108374,1.788892081490009,3.935527495027532,3.131329113924039,19789.999999999927,0.05729568015955759,6320.0,1624,262.96658259773005,-227.1269554753309,12.185960591132963,11.21243842364532,10680.0,-3290.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,15,0.01,1.5,False,True,1.267501322518073,0.5257009345794392,2.4227967070194008,4.302769710957618,3.950520833333316,26547.499999999884,0.06665013637490702,6720.0,856,279.53333333333336,-244.43965517241412,31.01343457943912,13.725467289719626,3870.0,-3425.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,25,0.01,1.3,False,True,1.2408391552715892,0.5102040816326531,2.293814496694955,5.957390590711706,4.6360153256704715,30249.999999999825,0.059036417100203575,6525.0,980,311.7049999999999,-261.6718750000003,30.86734693877533,13.274489795918367,10680.0,-3425.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,15,0.04,1.0,True,False,1.2013532801184126,0.492014742014742,1.9455776917696201,4.902804630844526,3.6092861655085393,28567.500000000087,0.07870140200855126,7915.0,1628,212.7902621722847,-171.55683192261182,17.547604422604476,7.656633906633907,10085.0,-2875.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,25,0.02,1.5,False,False,1.1819661995053583,0.5119485294117647,2.378539311558203,4.128350912320884,3.367276887871845,22072.49999999994,0.06501363749070171,6555.0,1088,257.4012567324955,-228.43691148775895,20.287224264705834,12.342830882352942,3590.0,-3755.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,15,0.04,1.5,False,False,1.1933362837453367,0.5110294117647058,2.3591895909602383,4.052938427176286,3.4988558352402634,22934.999999999927,0.06501363749070171,6555.0,1088,254.6088129496402,-222.98402255639098,21.079963235294056,12.199448529411764,3590.0,-3755.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,25,0.02,1.3,False,False,1.154666011787818,0.4960691823899371,2.1231947628829215,5.17053895617831,3.9894425675675356,23617.49999999981,0.05324459234608985,5920.0,1272,279.42551505546726,-238.2215288611545,18.567216981131928,12.007075471698114,10680.0,-3755.0
60,2.0,0.5,2,4.0,0.75,3,0,2.0,25,0.01,1.3,False,False,1.154666011787818,0.4960691823899371,2.1231947628829215,5.17053895617831,3.9894425675675356,23617.49999999981,0.05324459234608985,5920.0,1272,279.42551505546726,-238.2215288611545,18.567216981131928,12.007075471698114,10680.0,-3755.0
